ntp_time,throughput
1654263245.675345,64674
1654263250.675345,83916
1654263255.675345,67132
1654263260.675345,72580
1654263265.675345,72565
1654263270.675345,66842
1654263275.675345,61142
1654263280.675345,77895
1654263285.675345,61250
1654263290.675345,61199
1654263295.675345,61384
1654263300.675345,72478
1654263305.675345,66704
1654263310.675345,66969
1654263315.675345,61296
1654263320.675345,61305
1654263325.675345,61304
1654263330.675345,61358
1654263335.675345,66963
1654263340.675345,55786
1654263345.675345,67045
1654263350.675345,55854
1654263355.675345,55883
1654263360.675345,67104
1654263365.675345,55960
1654263370.675345,55974
1654263375.675345,56073
1654263380.675345,56008
1654263385.675345,56093
1654263390.675345,61710
1654263395.675345,56176
1654263400.675345,56211
1654263405.675345,56232
1654263410.675345,56259
1654263415.675345,61925
1654263420.675345,56327
1654263425.675345,50750
1654263430.675345,62016
1654263435.675345,56388
1654263440.675345,56411
1654263445.675345,56470
1654263450.675345,62112
1654263455.675345,50903
1654263460.675345,50891
1654263465.675345,62131
1654263470.675345,50822
1654263475.675345,56465
1654263480.675345,56462
1654263485.675345,56515
1654263490.675345,56481
1654263495.675345,56592
1654263500.675345,56643
1654263505.675345,56640
1654263510.675345,56706
1654263515.675345,56713
1654263520.675345,58216
1654263525.675345,58779
1654263530.675345,52511
1654263535.675345,64097
1654263540.675345,58248
1654263545.675345,58290
1654263550.675345,63950
1654263555.675345,57984
1654263560.675345,58035
1654263565.675345,57998
1654263570.675345,57969
1654263575.675345,63724
1654263580.675345,57775
1654263585.675345,57757
1654263590.675345,57668
1654263595.675345,63534
1654263600.675345,57839
1654263605.675345,57831
1654263610.675345,57951
1654263615.675345,58012
1654263620.675345,63752
1654263625.675345,57910
1654263630.675345,57923
1654263635.675345,63715
1654263640.675345,57928
1654263645.675345,57844
1654263650.675345,65719
1654263655.675345,60272
1654263660.675345,58249
1654263665.675345,52445
1654263670.675345,64358
1654263675.675345,58655
1654263680.675345,64828
1654263685.675345,52649
1654263690.675345,64303
1654263695.675345,58450
1654263700.675345,58492
1654263705.675345,60780
1654263710.675345,53671
1654263715.675345,57936
1654263720.675345,61318
1654263725.675345,48244
1654263730.675345,52562
1654263735.675345,53860
1654263740.675345,46933
1654263745.675345,58463
1654263750.675345,64350
1654263755.675345,47532
1654263760.675345,58207
1654263765.675345,52363
1654263770.675345,52354
1654263775.675345,57925
1654263780.675345,52118
1654263785.675345,58003
1654263790.675345,52125
1654263795.675345,52105
1654263800.675345,52067
1654263805.675345,52002
1654263810.675345,57852
1654263815.675345,57816
1654263820.675345,63263
1654263825.675345,58103
1654263830.675345,57976
1654263835.675345,58003
1654263840.675345,63762
1654263845.675345,57960
1654263850.675345,58009
1654263855.675345,58032
1654263860.675345,58062
1654263865.675345,58034
1654263870.675345,58046
1654263875.675345,58085
1654263880.675345,58076
1654263885.675345,52342
1654263890.675345,52422
1654263895.675345,61932
1654263900.675345,46773
1654263905.675345,46540
1654263910.675345,52297
1654263915.675345,52389
1654263920.675345,40823
1654263925.675345,52339
1654263930.675345,58177
1654263935.675345,46587
1654263940.675345,23267
1654263945.675345,46554
1654263950.675345,46629
1654263955.675345,40831
1654263960.675345,58361
1654263965.675345,58517
1654263970.675345,58415
1654263975.675345,58386
1654263980.675345,58310
1654263985.675345,58386
1654263990.675345,64264
1654263995.675345,58428
1654264000.675345,64396
1654264005.675345,58740
1654264010.675345,64357
1654264015.675345,58373
1654264020.675345,52645
1654264025.675345,59140
1654264030.675345,61614
1654264035.675345,61841
1654264040.675345,61914
1654264045.675345,42972
1654264050.675345,54596
1654264055.675345,58548
1654264060.675345,46788
1654264065.675345,58370
1654264070.675345,46635
1654264075.675345,52459
1654264080.675345,52330
1654264085.675345,52259
1654264090.675345,52318
1654264095.675345,58047
1654264100.675345,58107
1654264105.675345,52292
1654264110.675345,48759
1654264115.675345,52960
1654264120.675345,52325
1654264125.675345,58125
1654264130.675345,46573
1654264135.675345,58173
1654264140.675345,52288
1654264145.675345,58067
1654264150.675345,52331
1654264155.675345,63934
1654264160.675345,58168
1654264165.675345,58087
1654264170.675345,58207
1654264175.675345,58114
1654264180.675345,63785
1654264185.675345,58038
1654264190.675345,58018
1654264195.675345,64030
1654264200.675345,52467
1654264205.675345,52448
1654264210.675345,56407
1654264215.675345,49173
1654264220.675345,56889
1654264225.675345,44585
1654264230.675345,51141
1654264235.675345,51204
1654264240.675345,51203
1654264245.675345,51314
1654264250.675345,51281
1654264255.675345,44807
1654264260.675345,51358
1654264265.675345,51362
1654264270.675345,51317
1654264275.675345,44939
1654264280.675345,51451
1654264285.675345,51518
1654264290.675345,51478
1654264295.675345,45012
1654264300.675345,51592
1654264305.675345,51672
1654264310.675345,51692
1654264315.675345,51680
1654264320.675345,45242
1654264325.675345,51670
1654264330.675345,45220
1654264335.675345,51729
1654264340.675345,45208
1654264345.675345,51662
1654264350.675345,51425
1654264355.675345,51491
1654264360.675345,51478
1654264365.675345,44993
1654264370.675345,51408
1654264375.675345,44991
1654264380.675345,51448
1654264385.675345,51458
1654264390.675345,45038
1654264395.675345,51488
1654264400.675345,51451
1654264405.675345,51422
1654264410.675345,51401
1654264415.675345,44933
1654264420.675345,51342
1654264425.675345,51281
1654264430.675345,44904
1654264435.675345,51344
1654264440.675345,44876
1654264445.675345,44861
1654264450.675345,51279
1654264455.675345,51290
1654264460.675345,51296
1654264465.675345,44836
1654264470.675345,51281
1654264475.675345,51257
1654264480.675345,44869
1654264485.675345,51292
1654264490.675345,44879
1654264495.675345,51303
1654264500.675345,51317
1654264505.675345,51295
1654264510.675345,51328
1654264515.675345,44951
1654264520.675345,51339
1654264525.675345,51282
1654264530.675345,51263
1654264535.675345,44853
1654264540.675345,44842
1654264545.675345,44816
1654264550.675345,51247
1654264555.675345,51232
1654264560.675345,51280
1654264565.675345,44812
1654264570.675345,44806
1654264575.675345,44830
1654264580.675345,51182
1654264585.675345,51246
1654264590.675345,51215
1654264595.675345,44869
1654264600.675345,51258
1654264605.675345,44857
1654264610.675345,44852
1654264615.675345,51252
1654264620.675345,44823
1654264625.675345,44844
1654264630.675345,51211
1654264635.675345,44833
1654264640.675345,51215
1654264645.675345,51242
1654264650.675345,44909
1654264655.675345,51322
1654264660.675345,51315
1654264665.675345,44913
1654264670.675345,44919
1654264675.675345,51354
1654264680.675345,44898
1654264685.675345,44917
1654264690.675345,51316
1654264695.675345,44926
1654264700.675345,51306
1654264705.675345,44887
1654264710.675345,51266
1654264715.675345,44885
1654264720.675345,51289
1654264725.675345,44853
1654264730.675345,51218
1654264735.675345,51251
1654264740.675345,44801
1654264745.675345,51217
1654264750.675345,44840
1654264755.675345,51246
1654264760.675345,44826
1654264765.675345,51201
1654264770.675345,51232
1654264775.675345,44843
1654264780.675345,51248
1654264785.675345,51213
1654264790.675345,44868
1654264795.675345,51293
1654264800.675345,51207
1654264805.675345,44793
1654264810.675345,51152
1654264815.675345,44799
1654264820.675345,51150
1654264825.675345,44743
1654264830.675345,51183
1654264835.675345,44765
1654264840.675345,51104
1654264845.675345,44705
1654264850.675345,51107
1654264855.675345,44730
1654264860.675345,51085
1654264865.675345,44727
1654264870.675345,16644
1654264875.675345,15297
1654264880.675345,44699
1654264885.675345,31947
1654264890.675345,38335
1654264895.675345,44693
1654264900.675345,38282
1654264905.675345,44688
1654264910.675345,44655
1654264915.675345,44708
1654264920.675345,44705
1654264925.675345,50835
1654264930.675345,44466
1654264935.675345,44505
1654264940.675345,50849
1654264945.675345,44429
1654264950.675345,44409
1654264955.675345,50451
1654264960.675345,43996
1654264965.675345,43938
1654264970.675345,43880
1654264975.675345,43955
1654264980.675345,50312
1654264985.675345,50039
1654264990.675345,43824
1654264995.675345,49979
1654265000.675345,43784
1654265005.675345,49880
1654265010.675345,43489
1654265015.675345,43489
1654265020.675345,49688
1654265025.675345,43484
1654265030.675345,49655
1654265035.675345,43422
1654265040.675345,43423
1654265045.675345,37251
1654265050.675345,49635
1654265055.675345,43387
1654265060.675345,49595
1654265065.675345,43423
1654265070.675345,43391
1654265075.675345,49407
1654265080.675345,43035
1654265085.675345,49027
1654265090.675345,48869
1654265095.675345,42727
1654265100.675345,48911
1654265105.675345,42839
1654265110.675345,48915
1654265115.675345,42861
1654265120.675345,42827
1654265125.675345,36660
1654265130.675345,42797
1654265135.675345,36718
1654265140.675345,42844
1654265145.675345,48927
1654265150.675345,42787
1654265155.675345,36694
1654265160.675345,42795
1654265165.675345,42780
1654265170.675345,42778
1654265175.675345,48901
1654265180.675345,42802
1654265185.675345,48926
1654265190.675345,42810
1654265195.675345,42778
1654265200.675345,48977
1654265205.675345,48853
1654265210.675345,42755
1654265215.675345,48837
1654265220.675345,48779
1654265225.675345,48858
1654265230.675345,42752
1654265235.675345,48855
1654265240.675345,42601
1654265245.675345,48603
1654265250.675345,42418
1654265255.675345,48659
1654265260.675345,42589
1654265265.675345,42564
1654265270.675345,48666
1654265275.675345,48691
1654265280.675345,42636
1654265285.675345,48624
1654265290.675345,42460
1654265295.675345,42533
1654265300.675345,42535
1654265305.675345,48605
1654265310.675345,42530
1654265315.675345,48507
1654265320.675345,42448
1654265325.675345,48482
1654265330.675345,48569
1654265335.675345,42446
1654265340.675345,48439
1654265345.675345,42293
1654265350.675345,42332
1654265355.675345,42374
1654265360.675345,48418
1654265365.675345,42421
1654265370.675345,48481
1654265375.675345,48492
1654265380.675345,42459
1654265385.675345,48493
1654265390.675345,42444
1654265395.675345,48463
1654265400.675345,48509
1654265405.675345,36372
1654265410.675345,42440
1654265415.675345,42474
1654265420.675345,48499
1654265425.675345,42468
1654265430.675345,42413
1654265435.675345,42400
1654265440.675345,36326
1654265445.675345,48415
1654265450.675345,42614
1654265455.675345,42110
1654265460.675345,48197
1654265465.675345,42168
1654265470.675345,42140
1654265475.675345,42191
1654265480.675345,48275
1654265485.675345,42215
1654265490.675345,42161
1654265495.675345,42139
1654265500.675345,42076
1654265505.675345,48083
1654265510.675345,42120
1654265515.675345,48281
1654265520.675345,42174
1654265525.675345,42116
1654265530.675345,42171
1654265535.675345,42210
1654265540.675345,42209
1654265545.675345,36171
1654265550.675345,48280
1654265555.675345,42199
1654265560.675345,36234
1654265565.675345,36226
1654265570.675345,42267
1654265575.675345,36210
1654265580.675345,42286
1654265585.675345,36225
1654265590.675345,36244
1654265595.675345,42261
1654265600.675345,17075
1654265605.675345,0
1654265610.675345,0
1654265615.675345,0
1654265620.675345,0
1654265625.675345,0
1654265630.675345,0
1654265635.675345,0
1654265640.675345,0
1654265645.675345,0
1654265650.675345,0
1654265655.675345,0
1654265660.675345,0
1654265665.675345,0
1654265670.675345,0
1654265675.675345,0
1654265680.675345,0
1654265685.675345,0
1654265690.675345,0
1654265695.675345,0
1654265700.675345,0
1654265705.675345,0
1654265710.675345,52933
1654265715.675345,67835
1654265720.675345,66332
1654265725.675345,82241
1654265730.675345,76657
1654265735.675345,76450
1654265740.675345,59973
1654265745.675345,70804
1654265750.675345,76182
1654265755.675345,65197
1654265760.675345,76094
1654265765.675345,65230
1654265770.675345,81531
1654265775.675345,59730
1654265780.675345,65112
1654265785.675345,70569
1654265790.675345,65161
1654265795.675345,70587
1654265800.675345,76064
1654265805.675345,81423
1654265810.675345,70689
1654265815.675345,70716
1654265820.675345,76203
1654265825.675345,81709
1654265830.675345,65431
1654265835.675345,76369
1654265840.675345,76385
1654265845.675345,81820
1654265850.675345,70983
1654265855.675345,81927
1654265860.675345,81994
1654265865.675345,76570
1654265870.675345,65642
1654265875.675345,71185
1654265880.675345,76676
1654265885.675345,65723
1654265890.675345,54769
1654265895.675345,65805
1654265900.675345,71236
1654265905.675345,60395
1654265910.675345,65970
1654265915.675345,65941
1654265920.675345,64723
